CSV,package,date,diff_commits,same_lines,right_files,added_lines,different_files,different_lines,same_files,removed_lines,common_files,common_lines,right_lines,left_files,normal_effort,diff_files,equal_lines,left_lines
CSV,bluez:4.101-2,20130722T093954Z,13768,4878,214,50876,319,104389,28,15211,28,64916,113285,110,4147,157,60038,29407
CSV,bluez:4.96-3,20111003T033109Z,14924,3560,149,35056,260,73968,23,14718,23,56286,70611,103,4570,134,52726,27551
CSV,git:1:1.7.2.5-2,20110429T215532Z,21291,32371,606,172840,1624,206158,508,90657,508,309240,131316,200,6603,1221,276869,17504
CSV,git:1:1.7.9.1-1,20120220T214121Z,16564,61255,581,142385,1585,246061,945,77993,945,401876,258665,103,5044,1243,340621,13079
CSV,git:1:1.8.2.1-1,20130408T154412Z,11897,105203,416,168063,1461,205658,1225,86733,1225,507306,139973,96,3583,1205,402103,16547
CSV,git:1:2.7.0+next.20160112-1,20160120T225934Z,2620,258076,105,80646,869,73771,2039,46873,2039,735571,15449,50,739,792,477495,4575
CSV,git:1:2.7.0~rc0+next.20151210-1,20151211T040840Z,2867,251443,108,82998,883,83008,2024,48720,2024,718944,29724,50,801,804,467501,4575
CSV,git:4.3.20-9,20060427T000000Z,41591,1151,1296,80326,979,215466,13,21370,13,22759,298651,142,14822,260,21608,30586
CSV,openssl:1.0.1e-5,20131222T215323Z,7041,1391,507,253074,1812,412081,73,249387,73,171520,136158,721,3172,1198,170129,185544
CSV,openssl:1.0.1g-3,20140419T221713Z,7041,1391,507,253074,1812,412081,73,249387,73,171520,136158,721,3172,1198,170129,185544
CSV,openssl:1.0.1k-3+deb8u5,20160503T182300Z,7041,1391,507,253074,1812,412081,73,249387,73,171520,136158,721,3172,1198,170129,185544
CSV,openssl:1.1.0~pre5-2,20160611T050640Z,967,257269,2486,30864,2777,51756,1487,24438,1487,645701,45151,1399,447,835,388432,3059
CSV,acl:2.2.39-1,20060623T000000Z,155,646,44,3103,161,5392,9,2544,9,10779,2615,36,99,121,10133,2523
CSV,bash:4.0-1,20090302T161619Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,git:1:2.1.0~rc2+next.20140808-1,20140809T043737Z,7132,167800,262,133734,1214,150773,1613,77085,1613,607604,84368,56,2106,1055,439804,6360
CSV,openssl:1.0.1e-2+deb7u17,20150613T142522Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,openssl:1.1.0b-1,20160926T221538Z,16,734098,4,515,29,433,6719,233,6719,777317,119,0,8,27,43219,0
CSV,acl:2.2.34-1,20051208T000000Z,170,646,45,2835,160,5244,9,2263,9,10696,2966,35,110,120,10050,2425
CSV,bash:4.2+dfsg-1,20130330T211956Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,git:1:1.8.5.2-1~bpo70+1,20131231T040015Z,9039,141625,341,147198,1359,180854,1398,83144,1398,561966,114693,84,2697,1147,420341,16673
CSV,git:1:1.9.0~rc3-1,20140208T042311Z,8074,147452,327,149147,1328,171042,1431,87142,1431,578602,96108,73,2361,1128,431150,9688
CSV,openssl:1.0.1e-2+deb7u16,20150324T213121Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,openssl:1.0.1i-2+alpha,20140813T133613Z,7041,1391,507,253074,1812,412081,73,249387,73,171520,136158,721,3172,1198,170129,185544
CSV,openssl:1.0.2b-1,20150611T222219Z,5195,4433,435,95776,1782,243216,163,117831,163,385743,98716,594,2203,1268,381310,174110
CSV,bash:4.0-3,20090517T161239Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,bash:4.2-5,20120803T033431Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,bash:4.3-8,20140803T222841Z,25,91640,86,148267,546,140857,640,105517,640,584912,27930,2,12,502,493272,1
CSV,bluez:4.86-1,20110124T085154Z,15530,2347,165,35571,251,75248,21,13954,21,51483,74899,98,4849,120,49136,26073
CSV,git:1:1.7.6.3-1,20110914T211531Z,18305,53054,676,150434,1628,257372,808,80097,808,372903,273175,109,5596,1236,319849,11038
CSV,git:1:1.8.4~rc3-1~bpo70+1,20130925T154815Z,9786,128606,371,159361,1399,191456,1335,87555,1335,545667,118809,89,2955,1169,417061,17187
CSV,openssl:1.0.1e-2+deb7u15,20150319T142928Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,bash:4.0-2,20090321T214901Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,bash:4.2-4,20120713T033025Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,bash:4.3-9,20140822T041524Z,23,91640,86,148250,546,140846,640,105512,640,584929,27930,2,11,502,493289,1
CSV,git:1:1.8.2~rc2-1,20130304T032029Z,12238,100326,421,169489,1479,207054,1204,87635,1204,505474,140376,97,3681,1220,405148,16608
CSV,git:1:2.6.0~rc2+next.20150917-1,20150919T033125Z,3731,229110,144,97363,965,98817,1920,61162,1920,694382,34435,52,1071,867,465272,4675
CSV,openssl:1.0.1e-2+deb7u14,20150111T105023Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,openssl:1.0.2~beta2-1,20140723T222657Z,5772,4149,430,242214,1826,397392,160,264080,160,219672,100875,715,2515,1254,215523,187615
CSV,bash:4.0-5,20090913T180913Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,bash:4.2-3,20120701T162258Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,bash:4.3-9.1,20140924T220917Z,22,91640,86,148241,546,140842,640,105512,640,584938,27930,2,10,502,493298,1
CSV,bluez:4.87-2,20110209T090445Z,15510,2347,165,35469,251,75432,21,13964,21,51585,74899,98,4842,120,49238,26533
CSV,git:1:1.8.2-1,20130401T214011Z,11825,101119,421,169096,1474,206763,1208,87507,1208,505867,140376,96,3559,1216,404748,16547
CSV,git:1:1.8.5.1-1,20131204T043919Z,9132,140012,342,147599,1364,181236,1393,83488,1393,561545,114713,84,2734,1151,421533,16673
CSV,git:1:2.8.1-1,20160419T100008Z,1882,321425,85,61183,712,58663,2204,39239,2204,757279,13204,46,500,647,435854,3700
CSV,openssl:1.0.1e-2+deb7u13,20141016T154737Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,openssl:1.0.2h-1~bpo8+1,20160707T173116Z,5195,4433,435,95776,1782,243216,163,117831,163,385743,98716,594,2203,1268,381310,174110
CSV,openssl:1.0.1e-2+deb7u8,20140513T052434Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,acl:2.2.41-1,20060726T000000Z,149,646,44,3096,160,5274,9,2544,9,10786,2615,35,94,121,10140,2293
CSV,bash:4.0-4,20090824T051347Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,bash:4.2-2,20120402T213722Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,bluez:4.89-1,20110321T175636Z,15416,2347,161,36126,253,74587,21,14203,21,52898,72929,97,4789,124,50551,25916
CSV,bluez:5.33-1,20150818T212935Z,625,194145,29,15212,246,16001,633,6995,633,431069,6591,10,317,227,236924,3205
CSV,git:1:1.7.8.2-1,20120103T214853Z,16866,57150,631,143254,1647,249469,852,78201,852,392632,263977,116,5151,1274,335482,13507
CSV,git:1:1.8.1~rc3-1,20121226T151225Z,13143,97052,464,178316,1501,217518,1162,90699,1162,489085,147932,101,3960,1219,392033,18090
CSV,git:1:1.8.2~rc0-1,20130219T100450Z,12119,100315,423,170242,1479,207442,1203,87601,1203,504663,140434,97,3646,1219,404348,16608
CSV,git:1:2.1.1-1,20140923T101236Z,6504,168820,252,138052,1207,147437,1625,80163,1625,617357,70297,56,1895,1053,448537,6363
CSV,git:1:1.7.2.3-2,20101018T151929Z,21470,32371,606,172847,1624,206164,508,90662,508,309233,131316,200,6647,1221,276862,17504
CSV,openssl:1.0.1e-2+deb7u12,20140806T230253Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,openssl:1.0.1e-2+deb7u9,20140518T130657Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,acl:2.0.8-1,20050312T000000Z,284,472,55,3711,149,6224,7,1761,7,7852,4347,34,196,105,7380,2629
CSV,bash:4.0-7,20090914T173707Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,bash:4.2-1,20111130T160025Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,bluez:4.60-1~bpo50+1,20100214T050510Z,16882,2145,180,29655,228,73475,20,11516,20,41747,83093,91,5406,93,39602,22687
CSV,git:1:1.7.2.3-1,20100907T162043Z,21470,32371,606,172847,1624,206164,508,90662,508,309233,131316,200,6647,1221,276862,17504
CSV,git:1:1.8.4.2-1,20131031T035445Z,9472,129712,367,158211,1397,190258,1338,86582,1338,547088,118538,88,2842,1170,417376,17186
CSV,git:1:2.6.0+next.20150928-1,20150930T040107Z,3463,233124,124,88814,947,91424,1950,57784,1950,706013,31652,51,973,860,472889,4598
CSV,openssl:1.0.1c-4+x32,20130118T085204Z,7109,1391,510,253623,1810,411328,73,246329,73,169536,137593,721,3209,1195,168145,185112
CSV,openssl:1.0.1e-2+deb7u11,20140616T183331Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,bash:4.0-6,20090914T053427Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,bash:4.3-9.2,20140926T043003Z,20,91640,86,148179,546,140801,640,105493,640,585000,27930,2,8,502,493360,1
CSV,bash:4.3~rc1-1,20131228T034846Z,47,90276,87,148498,546,141678,639,105563,639,583317,29294,2,16,502,493041,1
CSV,bluez:4.87-1,20110127T084843Z,15510,2347,165,35469,251,75432,21,13964,21,51585,74899,98,4842,120,49238,26533
CSV,git:1:1.7.10.4-1~bpo60+1,20120929T144413Z,15210,63260,552,195275,1579,242527,983,84502,983,423174,185706,96,4586,1255,359914,19571
CSV,git:1:2.0~next.20140404-1,20140408T041430Z,8210,155109,303,145703,1301,164352,1509,84723,1509,590082,89921,63,2417,1118,434973,8357
CSV,git:1:2.4.6-1,20150722T034510Z,4207,211999,189,113351,1025,116404,1838,66784,1838,666074,46688,53,1193,904,454075,5986
CSV,git:1:2.6.0~rc0+next.20150902-1,20150903T033716Z,3819,227136,149,100150,971,101468,1911,63570,1911,691488,34542,52,1102,871,464352,4675
CSV,openssl:1.1.0~pre6-1,20160804T223450Z,474,388716,2018,14165,2107,53319,3357,8475,3357,689954,61325,1284,217,456,301238,22674
CSV,openssl:1.0.1e-2+deb7u10,20140605T120052Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
CSV,openssl:1.0.1g-2+alpha,20140410T132146Z,7041,1391,507,253074,1812,412081,73,249387,73,171520,136158,721,3172,1198,170129,185544
CSV,openssl:1.0.2h-1~bpo8+2,20160823T043921Z,5195,4433,435,95776,1782,243216,163,117831,163,385743,98716,594,2203,1268,381310,174110
CSV,acl:2.2.49-4,20100921T085940Z,71,6605,31,2075,116,3285,61,1892,61,14151,836,30,49,86,7546,1767
CSV,bash:4.3-2,20140305T100745Z,47,90276,87,148498,546,141678,639,105563,639,583317,29294,2,16,502,493041,1
CSV,bluez:5.5-1~exp1,20130525T160539Z,8825,13509,182,57658,456,82330,118,15408,118,204087,85510,22,2637,354,190578,6084
CSV,git:1:1.8.1.1-1,20130116T212239Z,13011,97087,460,177796,1499,216963,1166,90336,1166,489832,147705,100,3934,1219,392745,18090
CSV,openssl:1.0.1e-2+deb7u4,20140202T163543Z,7097,1391,510,253562,1810,411287,73,246301,73,169597,137593,721,3203,1195,168206,185118
